"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"1";"";"PINHD-1X4/90";"1X04/90";"JP16";"PIN HEADER";"";"";"";"";"";"";
"3";"";"PINHD-1X8";"1X08";"JP17, JP19, JP20";"PIN HEADER";"";"";"";"";"";"";
"4";"";"PINHD-2X3/90";"2X03/90";"JP1, JP2, JP3, JP13";"PIN HEADER";"";"";"";"";"";"";
"1";"";"PINHD-2X4";"2X04";"JP18";"PIN HEADER";"";"";"";"";"";"";
"3";"";"PINHD-2X4/90";"2X04/90";"JP4, JP9, JP15";"PIN HEADER";"";"";"";"";"";"";
"7";"";"SJN";"SJ";"SJ10, SJ11, SJ12, SJ13, SJ25, SJ26, SJ27";"SMD solder JUMPER";"";"";"";"";"";"";
"3";"100n";"C-EUC0805";"C0805";"C1, C2, C3";"CAPACITOR, European symbol";"";"";"";"";"";"";
"15";"10k";"R-EU_R0805";"R0805";"R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31";"RESISTOR, European symbol";"";"";"";"";"";"";
"8";"120";"R-EU_R0805";"R0805";"R1, R2, R3, R4, R5, R6, R7, R8";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"ADS1115IDGST";"ADS1115IDGST";"SOP50P490X110-10N";"ADS1115";"Analog-to-Digital Converter with Internal Reference";"";"ADS1115IDGST";"1762981";"25R1241";"MSOP-10";"Texas Instruments";
"1";"MCP23S17-E/SO";"MCP23S17-E/SO";"SOIC127P030X265-28N";"U$1";"16-Bit I/O Expander";"IC I/O EXPANDER";"MCP23S17-E/SO";"1332093";"31K2950";"SOIC-28";"Microchip";
"8";"green";"LEDCHIPLED_0805";"CHIPLED_0805";"LED2, LED4, LED6, LED8, LED10, LED12, LED14, LED16";"LED";"";"";"";"";"";"";
