"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"1";"";"691322310002";"691322310002";"J1";"WR-TBL Serie 322 - 3.81mm Vertical PCB Header , 2 Pins=>Code : Con_TBL_Pluggable_3.81_PCB_THT_Simple_691322310002";"";"";"";"";"";"";
"1";"";"691322310005";"691322310005";"J3";"WR-TBL Serie 322 - 3.81mm Vertical PCB Header , 5 Pins=>Code : Con_TBL_Pluggable_3.81_PCB_THT_Simple_691322310005";"";"";"";"";"";"";
"9";"";"C-EUC0805";"C0805";"C1, C2, C3, C4, C5, C6, C7, C8, C9";"CAPACITOR, European symbol";"";"";"";"";"";"";
"2";"";"CRYSTALHC49S";"HC49/S";"Q1, Q2";"CRYSTAL";"";"";"1667008";"unknown";"";"";
"1";"";"MEBP_8-8G";"MEBP";"CON1";"Reichelt RJ45 geschirmt MEBP 8-8G";"";"";"";"";"";"";
"2";"";"PINHD-1X2";"1X02";"JP1, JP2";"PIN HEADER";"";"";"";"";"";"";
"1";"";"PINHD-1X5";"1X05";"JP3";"PIN HEADER";"";"";"";"";"";"";
"2";"";"R-EU_R0805";"R0805";"R1, R2";"RESISTOR, European symbol";"";"";"";"";"";"";
"6";"10k";"R-EU_R0805";"R0805";"R3, R4, R5, R6, R9, R10";"RESISTOR, European symbol";"";"";"";"";"";"";
"2";"120";"R-EU_R0805";"R0805";"R11, R12";"RESISTOR, European symbol";"";"";"";"";"";"";
"2";"18k";"R-EU_R0805";"R0805";"R7, R8";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"615016240521";"615016240521";"615016240521";"K4";"WR-MJ Horizontal Shielded Dual Stacked Port with EMI Panel Finger 8P8C Modular Jack Tab Up & Down, 16 Pins";"";"";"";"";"";"";
"1";"DS1820TO92";"DS1820TO92";"TO-92";"IC1";"DS1820 - 1-Wire Digital Thermometer";"";"";"";"";"";"";
"1";"MAX481CSA";"MAX481CSA";"SO08";"IC3";"RS485 TRANSEIVER";"MAXIM";"MAX481CSA";"unknown";"90C3817";"";"";
"2";"MCP2515-I/SO";"MCP2515-I/SO";"SOIC127P1034X264-18N";"U$1, U$3";"CAN Controller";"";"MCP2515-I/SO";"1292239";"29H7136";"SOIC-18";"Microchip";
"2";"MCP2551";"MCP2551";"SO-8";"IC2, IC4";"CAN Transceiver";"";"";"";"";"";"";
"1";"RASPBERRY_PI_B+";"RASPBERRY_PI_B+";"RASPBERRY_PI_B+";"U$2";"";"";"";"";"";"";"";
